label_order,target_id,target_type,doc_id,role,url,predicted_medium,predicted_doc_facets,predicted_target_class,gold_facets,notes
14,play_store_app__recorder,play_store_app,privacy_policy-02,privacy_policy,http://hipxel.com/privacy-policy/,prose,prose:named;prose:generic,prose:named;prose:generic;machine_readable:named,prose:named;prose:generic,
14,play_store_app__recorder,play_store_app,app_ads_txt-03,app_ads_txt,http://hipxel.com/app-ads.txt,machine_readable,machine_readable:named,prose:named;prose:generic;machine_readable:named,machine_readable:named,
15,app_store_app__semesters,app_store_app,privacy_policy-00,privacy_policy,https://www.hugedomains.com/domain_profile.cfm?d=mysemesters.com,prose,,,,
16,website__mytimesplus-co-uk,website,privacy_policy-00,privacy_policy,https://newsprivacy.co.uk,prose,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic,
16,website__mytimesplus-co-uk,website,subprocessor_list-01,subprocessor_list,https://www.thetimes.com/timesplus/subprocessors,,,prose:named;prose:category;prose:generic,,
16,website__mytimesplus-co-uk,website,do_not_sell-02,do_not_sell,https://www.thetimes.com/timesplus/do-not-sell-my-info,,,prose:named;prose:category;prose:generic,,
17,data_broker__delta-projects-ab,data_broker,privacy_policy-00,privacy_policy,https://deltaprojects.com/data-collection-policy/,structured,structured:named;structured:category;structured:generic,structured:named;structured:category;structured:generic,structured:named;structured:category;structured:generic,Could also be argued to be prose
17,data_broker__delta-projects-ab,data_broker,cookie_policy-01,cookie_policy,https://deltaprojects.com/website-cookie-notice/,structured,structured:named;structured:category;structured:generic,structured:named;structured:category;structured:generic,structured:named;structured:category;structured:generic,
18,app_store_app__reach,app_store_app,privacy_policy-00,privacy_policy,https://www.accaglobal.com/uk/en/footertoolbar/privacy/acca-website-privacy-promise.html,prose,prose:generic,prose:generic,prose:generic,
19,app_store_app__t211801105,app_store_app,privacy_policy-00,privacy_policy,https://www.cmcm.com/en/policies/ac09a0f0757f11eaa0e64fddb53be10e?hl=en,prose,prose:generic,prose:generic;machine_readable:named,prose:generic,
19,app_store_app__t211801105,app_store_app,app_ads_txt-01,app_ads_txt,https://www.cmcm.com/app-ads.txt,machine_readable,machine_readable:named,prose:generic;machine_readable:named,machine_readable:named,
20,data_broker__heimspiel-medien-gmbh-co-kg,data_broker,privacy_policy-00,privacy_policy,https://heimspiel.de/legal/privacy-policy-iab-vendor/,prose,,prose:named;prose:generic,,"Technically the cookie banner always mentions generic data sharing, but given that there are other relevant docs it is not considered."
20,data_broker__heimspiel-medien-gmbh-co-kg,data_broker,privacy_policy-01,privacy_policy,https://heimspiel.de/privacy,prose,,prose:named;prose:generic,prose:generic,
20,data_broker__heimspiel-medien-gmbh-co-kg,data_broker,privacy_policy-02,privacy_policy,https://heimspiel.de/privacy-policy,prose,prose:named;prose:generic,prose:named;prose:generic,prose:named;prose:generic,
21,data_broker__datonics-llc,data_broker,privacy_policy-00,privacy_policy,https://www.datonics.com/privacy/technology-privacy-policy,prose,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic,
21,data_broker__datonics-llc,data_broker,do_not_sell-01,do_not_sell,https://www.datonics.com/privacy/privacy-choices,prose,,prose:named;prose:category;prose:generic,,
22,play_store_app__canonagm,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.mobilemindsinc.CanonAGM&hl=en&gl=US,,,prose:category;prose:generic,,
22,play_store_app__canonagm,play_store_app,privacy_policy-02,privacy_policy,https://ph.canon/en/consumer/web/privacy,prose,prose:category;prose:generic,prose:category;prose:generic,prose:category;prose:generic,
23,play_store_app__omwalid,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.halawiyat.omwalid&hl=en&gl=US,,,prose:generic,,
23,play_store_app__omwalid,play_store_app,privacy_policy-02,privacy_policy,http://h-rtop.blogspot.com/2017/02/privacy-policy.html,prose,prose:generic,prose:generic,,
24,play_store_app__revc,play_store_app,store_listing-00,store_listing,https://play.google.com/store/apps/details?id=com.mandrejrn.revc&hl=en&gl=US,structured,structured:generic,prose:named;prose:category;prose:generic;structured:generic;machine_readable:named,structured:generic,
24,play_store_app__revc,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.mandrejrn.revc&hl=en&gl=US,structured,structured:generic,prose:named;prose:category;prose:generic;structured:generic;machine_readable:named,structured:generic,
24,play_store_app__revc,play_store_app,privacy_policy-02,privacy_policy,https://www.newschannel5.com/privacy-policy?embedded=true,prose,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic;structured:generic;machine_readable:named,prose:named;prose:category;prose:generic,
24,play_store_app__revc,play_store_app,app_ads_txt-03,app_ads_txt,https://scripps.com/app-ads.txt,machine_readable,machine_readable:named,prose:named;prose:category;prose:generic;structured:generic;machine_readable:named,machine_readable:named,
25,website__mekshq-com,website,privacy_policy-00,privacy_policy,https://mekshq.com/privacy-policy/,prose,prose:named;prose:category,prose:named;prose:category;prose:generic;machine_readable:named,prose:named;prose:category;prose:generic,
25,website__mekshq-com,website,help_doc-01,help_doc,https://mekshq.com/pricing-faq/,other_doc,,prose:named;prose:category;prose:generic;machine_readable:named,,
25,website__mekshq-com,website,cookie_policy-07,cookie_policy,https://mekshq.com/cookie-policy/,prose,prose:generic,prose:named;prose:category;prose:generic;machine_readable:named,prose:generic,
25,website__mekshq-com,website,ads_txt-19,ads_txt,https://mekshq.com/ads.txt,machine_readable,machine_readable:named,prose:named;prose:category;prose:generic;machine_readable:named,machine_readable,
26,website__searchfort-online,website,privacy_policy-00,privacy_policy,https://www.blpsearch.com/privacy,prose,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic,,
26,website__searchfort-online,website,subprocessor_list-01,subprocessor_list,http://ww1.searchfort.online,,,prose:named;prose:category;prose:generic,,
26,website__searchfort-online,website,do_not_sell-03,do_not_sell,https://searchfort.online/do-not-sell,,,prose:named;prose:category;prose:generic,,
27,app_store_app__activity,app_store_app,privacy_policy-00,privacy_policy,https://www.jagranjosh.com/terms-of-use,,,machine_readable:named,,"ToS, not PP. PP at https://www.jagranjosh.com/privacy-policy. Cookie banner, which does not have a separate page also contains named third parties (prose:generic;structured:named)"
27,app_store_app__activity,app_store_app,app_ads_txt-01,app_ads_txt,https://www.jagranjosh.com/app-ads.txt,machine_readable,machine_readable:named,machine_readable:named,machine_readable:named,
28,data_broker__esome-advertising-technologies-gmbh,data_broker,privacy_policy-00,privacy_policy,https://www.esome.com/en/privacy-policy/,prose,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic,
28,data_broker__esome-advertising-technologies-gmbh,data_broker,partners_page-18,partners_page,https://www.esome.com/de/2024/02/27/partnerschaft-mit-mobile-de-und-kleinanzeigen-de-esome-verstaerkt-sein-targetingportfolio-mit-weiteren-hochwertigen-zielgruppensegmenten/,other_doc,,prose:named;prose:category;prose:generic,,german-language document
29,data_broker__first-id-bidder,data_broker,privacy_policy-00,privacy_policy,https://www.first-id.fr/legale/cookie-policy/,prose,prose:category,prose:category,prose:category;prose:generic,other relevant document: https://www.first-id.fr/legale/our-partners/. Names specific parties
29,data_broker__first-id-bidder,data_broker,partners_page-01,partners_page,https://www.first-id.fr/integrations/,other_doc,,prose:category,,"Seems to be talking about tools which are able to integrate with the platform, not the platform in itself."
30,data_broker__madvertise-media,data_broker,privacy_policy-00,privacy_policy,https://developers.bluestack.app/privacy-policy,prose,prose:category;prose:generic,prose:category;prose:generic,prose:category;prose:generic,Other relevant document: https://developers.bluestack.app/third-party-list
30,data_broker__madvertise-media,data_broker,partners_page-01,partners_page,https://developers.bluestack.app/integration-tool,other_doc,,prose:category;prose:generic,,"Talks about integration requirements, not third-party disclosures."
31,website__1077theend-com,website,privacy_policy-00,privacy_policy,https://audacyinc.com/privacy-policy/,prose,,machine_readable:named,,"Document itself does not contain any relevant documentation, however the following (linked and not included) documents do: https://audacyinc.com/privacy-policy-europe/, https://audacyinc.com/cookie-policy/, https://preferences.audacy.datagrail.io/"
31,website__1077theend-com,website,subprocessor_list-01,subprocessor_list,https://www.audacy.com/1077theend,,,machine_readable:named,,"""site currently not available in EU"""
31,website__1077theend-com,website,ads_txt-06,ads_txt,https://www.audacy.com/ads.txt,machine_readable,machine_readable:named,machine_readable:named,machine_readable:named,
31,website__1077theend-com,website,do_not_sell-03,do_not_sell,https://audacyinc.com/do-not-sell-my-personal-information/,,,machine_readable:named,,
32,website__r4p3-net,website,privacy_policy-00,privacy_policy,https://noirth.com/help/privacy-statement/,prose,prose:category;prose:generic,prose:category;prose:generic;machine_readable:named,prose:category;prose:generic,
32,website__r4p3-net,website,ads_txt-21,ads_txt,https://noirth.com/ads.txt,machine_readable,machine_readable:named,prose:category;prose:generic;machine_readable:named,machine_readable:named,
33,app_store_app__cardboard,app_store_app,privacy_policy-00,privacy_policy,https://vtime.net/cookie-policy/,prose,prose:generic,prose:generic,prose:named;prose:category;prose:generic,
34,play_store_app__pixelphotoeditor,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.dyepixel.pixelphotoeditor&hl=en&gl=US,,,prose:named;prose:category;prose:generic,,dead link
34,play_store_app__pixelphotoeditor,play_store_app,privacy_policy-02,privacy_policy,https://dyepixelapps.yolasite.com/User-Data-policy.php,prose,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic,
35,play_store_app__lockscreen,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.glitch.live.wallpaper.lockscreen&hl=en&gl=US,,,prose:named;prose:category;prose:generic,,dead link
35,play_store_app__lockscreen,play_store_app,privacy_policy-02,privacy_policy,https://sites.google.com/view/jacobsite/privacy-policy,prose,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic,
36,website__linuxgizmos-com,website,privacy_policy-00,privacy_policy,https://deviceguru.com/privacy/,prose,prose:named;prose:generic,prose:named;prose:generic;machine_readable:named,prose:named;prose:generic,
36,website__linuxgizmos-com,website,help_doc-01,help_doc,https://linuxgizmos.com/quadrf-uses-raspberry-pi-5-for-4x4-mimo-sdr-rf-visualization-and-scalable-phased-array-support/,other_doc,,prose:named;prose:generic;machine_readable:named,,unrelated to third-party data sharing
36,website__linuxgizmos-com,website,ads_txt-22,ads_txt,https://deviceguru.com/ads.txt,machine_readable,machine_readable:named,prose:named;prose:generic;machine_readable:named,machine_readable:named,
37,website__dayre-me,website,privacy_policy-00,privacy_policy,https://dayre.me/terms/privacy,prose,prose:category;prose:generic,prose:category;prose:generic;other_doc:named,prose:category;prose:generic,
37,website__dayre-me,website,help_doc-01,help_doc,https://dayre.me/help,other_doc,other_doc:named,prose:category;prose:generic;other_doc:named,other:named,Only Ayden
37,website__dayre-me,website,subprocessor_list-02,subprocessor_list,https://dayre.me/upgrading-in-progress,,,prose:category;prose:generic;other_doc:named,,empty
38,app_store_app__hooters,app_store_app,privacy_policy-00,privacy_policy,https://www.hooters.com/privacy-policy,prose,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic,
39,website__wotclassic-com,website,privacy_policy-00,privacy_policy,https://legal.wargaming.net/en/user-documents/privacy/privacy-policy/view,prose,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic,
40,play_store_app__sk299,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=uk.ac.open.sk299&hl=en&gl=US,,,,,dead link
40,play_store_app__sk299,play_store_app,privacy_policy-02,privacy_policy,https://about.open.ac.uk/policies-and-reports/policies-and-statements/website-privacy-ou,prose,,,,"there is technically a linked PDF document with the policy, however that would prove very difficult to extract in a robust automated manner."
41,app_store_app__khmerpnh,app_store_app,privacy_policy-00,privacy_policy,http://www.windowskhmer.com/en/privacy,prose,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic;machine_readable:named,prose:named;prose:category;prose:generic,
41,app_store_app__khmerpnh,app_store_app,app_ads_txt-01,app_ads_txt,http://www.windowskhmer.com/app-ads.txt,machine_readable,machine_readable:named,prose:named;prose:category;prose:generic;machine_readable:named,machine_readable:named,
42,data_broker__rm-digital-ads-ltda,data_broker,privacy_policy-00,privacy_policy,https://www.rmads.io/privacy-policy,prose,prose:generic,prose:generic,prose:generic,
42,data_broker__rm-digital-ads-ltda,data_broker,do_not_sell-01,do_not_sell,https://www.rmads.io/optout,prose,,prose:generic,,non-english document
43,data_broker__smaato-inc,data_broker,privacy_policy-00,privacy_policy,https://www.smaato.com/privacy/,prose,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic;structured:named;structured:category;machine_readable:named,prose:named;prose:category;prose:generic,
43,data_broker__smaato-inc,data_broker,cookie_policy-06,cookie_policy,https://www.smaato.com/cookie-policy/,structured,structured:named;structured:category,prose:named;prose:category;prose:generic;structured:named;structured:category;machine_readable:named,structured:named;structured:category,
43,data_broker__smaato-inc,data_broker,partners_page-15,partners_page,https://verve.com/brand-marketplace-for-publishers/,other_doc,,prose:named;prose:category;prose:generic;structured:named;structured:category;machine_readable:named,,Cannot find any explicit mentions of third-party data sharing. Mentions of clients are not clearly third-part-data-sharing relationships.
43,data_broker__smaato-inc,data_broker,sellers_json-16,sellers_json,https://www.smaato.com/sellers.json,machine_readable,machine_readable:named,prose:named;prose:category;prose:generic;structured:named;structured:category;machine_readable:named,machine_readable:named,
44,app_store_app__free,app_store_app,privacy_policy-00,privacy_policy,https://inspiregamers.wordpress.com/privacy-policy/,prose,prose:category;prose:generic,prose:category;prose:generic,prose:category;prose:generic,
45,app_store_app__vitalitytoday,app_store_app,store_listing-00,store_listing,https://apps.apple.com/us/app/vitality-today/id491012082?uo=4,structured,structured:generic,structured:generic,structured:generic,
45,app_store_app__vitalitytoday,app_store_app,privacy_policy-01,privacy_policy,https://www.manulife.ca/privacy-policies.html,prose,,structured:generic,,Other relevant privacy statements are linked.
46,data_broker__ipsos-mori-uk-ltd,data_broker,privacy_policy-00,privacy_policy,https://iris.ipsos.com/site-centric-privacy/,prose,prose:category,prose:category;prose:generic,prose:category,
46,data_broker__ipsos-mori-uk-ltd,data_broker,cookie_policy-01,cookie_policy,https://iris.ipsos.com/cookie-policy-uk/,prose,prose:generic,prose:category;prose:generic,prose:named;prose:category;prose:generic,
47,data_broker__next-millennium-media-inc,data_broker,privacy_policy-00,privacy_policy,https://nextmillennium.com/privacy-policy/,prose,prose:category;prose:generic,prose:category;prose:generic;machine_readable:named,prose:category;prose:generic,
47,data_broker__next-millennium-media-inc,data_broker,dpa-17,dpa,https://nextmillennium.com/data-processing-agreement/,prose,prose:category;prose:generic,prose:category;prose:generic;machine_readable:named,prose:category;prose:generic,https://nextmillennium.com/next-millennium-media-inc-subprocessors/ is relevant and linked but not included in document set
47,data_broker__next-millennium-media-inc,data_broker,sellers_json-21,sellers_json,https://wp.nextmillennium.io/sellers.json,machine_readable,machine_readable:named,prose:category;prose:generic;machine_readable:named,machine_readable:named,
48,data_broker__globalwebindex,data_broker,privacy_policy-00,privacy_policy,https://www.gwi.com/privacy,structured,structured:named;structured:category;structured:generic,structured:named;structured:category;structured:generic;other_doc:named;other_doc:category;other_doc:generic,structured:named;structured:category;structured:generic,could also be argued to be prose. Assessment includes the parties mentioned in the 'modify cookies' option
48,data_broker__globalwebindex,data_broker,cookie_policy-06,cookie_policy,https://www.gwi.com/cookie-policy,structured,structured:named;structured:category;structured:generic,structured:named;structured:category;structured:generic;other_doc:named;other_doc:category;other_doc:generic,structured:named;structured:category;structured:generic,
48,data_broker__globalwebindex,data_broker,partners_page-15,partners_page,https://www.gwi.com/partners,other_doc,other_doc:named;other_doc:category;other_doc:generic,structured:named;structured:category;structured:generic;other_doc:named;other_doc:category;other_doc:generic,other_doc:named;other_doc:generic,"The named relies on the inclusion of specific entities as logos, which are difficult to extract automatically."
48,data_broker__globalwebindex,data_broker,vendor_list-16,vendor_list,https://www.gwi.com/case-studies/x-ad-sales,structured,structured:named;structured:category;structured:generic,structured:named;structured:category;structured:generic;other_doc:named;other_doc:category;other_doc:generic,structured:named;structured:category;structured:generic,category and generic are arguable
49,data_broker__axis-corp-ltd,data_broker,privacy_policy-00,privacy_policy,https://axis-marketplace.com/legal/privacy-policy,prose,prose:category;prose:generic,prose:category;prose:generic;machine_readable:named,prose:category;prose:generic,
49,data_broker__axis-corp-ltd,data_broker,help_doc-01,help_doc,https://axis-marketplace.com/wiki,other_doc,,prose:category;prose:generic;machine_readable:named,,No relevant information found
49,data_broker__axis-corp-ltd,data_broker,sellers_json-22,sellers_json,https://axis-marketplace.com/sellers.json,machine_readable,machine_readable:named,prose:category;prose:generic;machine_readable:named,machine_readable:named,
50,data_broker__artchaos-s-r-o,data_broker,privacy_policy-00,privacy_policy,https://silvermob.com/privacy,prose,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic;machine_readable:named,prose:named;prose:category;prose:generic,
50,data_broker__artchaos-s-r-o,data_broker,sellers_json-21,sellers_json,https://silvermob.com/sellers.json,machine_readable,machine_readable:named,prose:named;prose:category;prose:generic;machine_readable:named,machine_readable:named,
51,data_broker__hiili-sl,data_broker,privacy_policy-00,privacy_policy,https://hiili.org/privacy/index.html,structured,structured:named;structured:category,structured:named;structured:category,structured:named;structured:category,
52,play_store_app__offroadbushillclimb3d,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.rms.offroadbushillclimb3d&hl=en&gl=US,,,prose:named;prose:category;prose:generic,,dead link
52,play_store_app__offroadbushillclimb3d,play_store_app,privacy_policy-02,privacy_policy,https://sites.google.com/view/gamestorestudio,prose,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic,
53,app_store_app__slider,app_store_app,privacy_policy-00,privacy_policy,https://sudeshraikar.wixsite.com:443/app-world/privacy-policy,prose,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic,
54,play_store_app__cougarsim,play_store_app,store_listing-00,store_listing,https://play.google.com/store/apps/details?id=com.turborocketgames.cougarsim&hl=en&gl=US,structured,structured:generic,prose:named;prose:category;prose:generic;structured:generic;machine_readable:named,structured:generic,
54,play_store_app__cougarsim,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.turborocketgames.cougarsim&hl=en&gl=US,structured,structured:generic,prose:named;prose:category;prose:generic;structured:generic;machine_readable:named,structured:generic,
54,play_store_app__cougarsim,play_store_app,privacy_policy-02,privacy_policy,https://turborocketgames.com/privacy-policy/,prose,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic;structured:generic;machine_readable:named,prose:named;prose:category;prose:generic,
54,play_store_app__cougarsim,play_store_app,app_ads_txt-03,app_ads_txt,http://turborocketgames.com/app-ads.txt,machine_readable,machine_readable:named,prose:named;prose:category;prose:generic;structured:generic;machine_readable:named,machine_readable:named,
55,data_broker__microsoft-advertising,data_broker,privacy_policy-00,privacy_policy,https://www.microsoft.com/en-ca/privacy/privacystatement,prose,prose:named;prose:category;prose:generic,prose:named;prose:category;prose:generic;structured:named;structured:category;structured:generic,prose:named;prose:category;prose:generic,
55,data_broker__microsoft-advertising,data_broker,help_doc-01,help_doc,https://support.microsoft.com/en-us?icid=DSM_TopNav_Support,other_doc,,prose:named;prose:category;prose:generic;structured:named;structured:category;structured:generic,,
55,data_broker__microsoft-advertising,data_broker,vendor_list-02,vendor_list,https://learn.microsoft.com/en-us/xandr/policies-regulations/third-party-providers,structured,structured:named;structured:category;structured:generic,prose:named;prose:category;prose:generic;structured:named;structured:category;structured:generic,structured:named;structured:category;structured:generic,
55,data_broker__microsoft-advertising,data_broker,do_not_sell-16,do_not_sell,https://www.microsoft.com/en-ca/privacy/ccpa,prose,prose:category;prose:generic,prose:named;prose:category;prose:generic;structured:named;structured:category;structured:generic,prose:category;prose:generic,
56,play_store_app__photomaker,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.intebi.birthday.photomaker&hl=en&gl=US,,,prose:named;prose:generic;machine_readable:named,,dead link
56,play_store_app__photomaker,play_store_app,privacy_policy-02,privacy_policy,http://dhurandharapps.blogspot.com/2017/07/privacy-policy-for-happy-birthday-photo.html,prose,prose:named;prose:generic,prose:named;prose:generic;machine_readable:named,prose:named;prose:generic,
