label_order,target_id,target_type,doc_id,role,url,predicted_medium,predicted_relevant,predicted_evidence,gold_relevant,notes
13,play_store_app__videovk,play_store_app,app_ads_txt-03,app_ads_txt,https://madapps.com.ua/app-ads.txt,machine_readable,1,registry enumerates 104 named vendor(s),1,
14,play_store_app__recorder,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.mawges.hipxel.wav.recorder&hl=en&gl=US,,0,,0,dead link
14,play_store_app__recorder,play_store_app,privacy_policy-02,privacy_policy,http://hipxel.com/privacy-policy/,prose,1,We do not directly collect or store personal data on our own servers. Our apps use third-party services that may collect and process data automatically:,1,
14,play_store_app__recorder,play_store_app,app_ads_txt-03,app_ads_txt,http://hipxel.com/app-ads.txt,machine_readable,1,registry enumerates 1 named vendor(s),1,
15,app_store_app__semesters,app_store_app,privacy_policy-00,privacy_policy,https://www.hugedomains.com/domain_profile.cfm?d=mysemesters.com,prose,0,"HugeDomains provides a 100% satisfaction guarantee on every domain name that we sell through our website. If you buy a domain and are unhappy with it, we will accept the return within 30 days and i...",0,dead link
16,website__mytimesplus-co-uk,website,privacy_policy-00,privacy_policy,https://newsprivacy.co.uk,prose,1,"This Privacy and Cookie Policy explains what information we may collect about you, as well as how we collect, use, share, disclose or otherwise process that personal information. It also provides i...",1,
16,website__mytimesplus-co-uk,website,subprocessor_list-01,subprocessor_list,https://www.thetimes.com/timesplus/subprocessors,,0,,0,dead link
16,website__mytimesplus-co-uk,website,do_not_sell-02,do_not_sell,https://www.thetimes.com/timesplus/do-not-sell-my-info,,0,,0,page not found
17,data_broker__delta-projects-ab,data_broker,privacy_policy-00,privacy_policy,https://deltaprojects.com/data-collection-policy/,structured,1,"The purpose of this privacy notice (“ Privacy Notice ”) is to inform you as a user about why and how we process your personal data (that is any information that can be linked or attributed to you, ...",1,
17,data_broker__delta-projects-ab,data_broker,cookie_policy-01,cookie_policy,https://deltaprojects.com/website-cookie-notice/,structured,1,"For more information regarding the cookies used by advertising networks, we refer you to terms and conditions, cookie policies and privacy policies applicable to these platforms as can be found on ...",1,
18,app_store_app__reach,app_store_app,privacy_policy-00,privacy_policy,https://www.accaglobal.com/uk/en/footertoolbar/privacy/acca-website-privacy-promise.html,prose,1,We will apply reasonable organisational and technical safeguards against unauthorised or accidental disclosure.,1,"Challenging wording implying third-party sharing: ""We will put in place appropriate controls to manage any third-party vendor or supplier we deal with, holding them accountable via contract to specific standards"""
19,app_store_app__t211801105,app_store_app,privacy_policy-00,privacy_policy,https://www.cmcm.com/en/policies/ac09a0f0757f11eaa0e64fddb53be10e?hl=en,prose,1,"Do we disclose any information to outside parties? • We do not sell, trade, or otherwise transfer to outside parties your personal identifiable information. This does not include: • Trusted third p...",1,
19,app_store_app__t211801105,app_store_app,app_ads_txt-01,app_ads_txt,https://www.cmcm.com/app-ads.txt,machine_readable,1,registry enumerates 199 named vendor(s),1,
20,data_broker__heimspiel-medien-gmbh-co-kg,data_broker,privacy_policy-00,privacy_policy,https://heimspiel.de/legal/privacy-policy-iab-vendor/,prose,0,,0,"Technically the cookie banner always mentions generic data sharing, but given that there are other relevant docs it is not considered."
20,data_broker__heimspiel-medien-gmbh-co-kg,data_broker,privacy_policy-01,privacy_policy,https://heimspiel.de/privacy,prose,0,"In individual cases, publicly known information about sporting events can also be processed, such as transfers, suspensions or injuries.",1,"""Personal data may be transmitted to media, platforms, partner companies or technical service providers within the scope of the aforementioned purposes, insofar as this is necessary for the provision of sports-related information."""
20,data_broker__heimspiel-medien-gmbh-co-kg,data_broker,privacy_policy-02,privacy_policy,https://heimspiel.de/privacy-policy,prose,1,"We collect your data as a result of your sharing of your data with us. This may, for instance be information you enter into our contact form.",1,
21,data_broker__datonics-llc,data_broker,privacy_policy-00,privacy_policy,https://www.datonics.com/privacy/technology-privacy-policy,prose,1,"‍In order to increase the relevance of online advertisements, our technology collects or we license from third parties “personal information”, which is information that directly or indirectly ident...",1,
21,data_broker__datonics-llc,data_broker,do_not_sell-01,do_not_sell,https://www.datonics.com/privacy/privacy-choices,prose,0,"Depending on your residency location, you may have privacy rights by law in your jurisdiction that apply to Datonics regarding the personal information that we maintain about you. These rights may ...",0,Cannot find mention of third parties
22,play_store_app__canonagm,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.mobilemindsinc.CanonAGM&hl=en&gl=US,,0,,0,dead link
22,play_store_app__canonagm,play_store_app,privacy_policy-02,privacy_policy,https://ph.canon/en/consumer/web/privacy,prose,1,"Please keep in mind that if you directly disclose personally identifiable information or personally sensitive data through Canon Marketing Phils. Inc. public message boards, this information may be...",1,
23,play_store_app__omwalid,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.halawiyat.omwalid&hl=en&gl=US,,0,,0,dead link
23,play_store_app__omwalid,play_store_app,privacy_policy-02,privacy_policy,http://h-rtop.blogspot.com/2017/02/privacy-policy.html,prose,1,"In above situation, we guarantee that your PII will only be used for contacting you and improving our services. We will never use such information (e.g. your name and email address) for any other p...",0,"Policy technically does not contain any language about third-party sharing, due to it only talking about (disclaiming) third party information. The only possible reference is ""we guarantee that your PII will only be used for ... improving our services"" if ""improving"" is done through third parties, but that is speculative."
24,play_store_app__revc,play_store_app,store_listing-00,store_listing,https://play.google.com/store/apps/details?id=com.mandrejrn.revc&hl=en&gl=US,structured,1,store-listing data-safety card (mirrors play_data_safety),1,
24,play_store_app__revc,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.mandrejrn.revc&hl=en&gl=US,structured,1,Data shared,1,possibly redundant with above one
24,play_store_app__revc,play_store_app,privacy_policy-02,privacy_policy,https://www.newschannel5.com/privacy-policy?embedded=true,prose,1,"By visiting and using our products and services the personal data you share with us or that we collect automatically will be collected, stored, processed, or transferred in and to the United States...",1,
24,play_store_app__revc,play_store_app,app_ads_txt-03,app_ads_txt,https://scripps.com/app-ads.txt,machine_readable,1,registry enumerates 200 named vendor(s),1,
25,website__mekshq-com,website,privacy_policy-00,privacy_policy,https://mekshq.com/privacy-policy/,prose,1,"Meks (“us”, “we”) operates the https://mekshq.com website as a service. This page informs you of our policies regarding the collection, use, and disclosure of personal data when you use our service...",1,
25,website__mekshq-com,website,help_doc-01,help_doc,https://mekshq.com/pricing-faq/,other_doc,0,,0,Cannot find any mention of third parties.
25,website__mekshq-com,website,cookie_policy-07,cookie_policy,https://mekshq.com/cookie-policy/,prose,1,"Our Cookies Policy explains what cookies are, how we use cookies, how third-parties we may partner with may use cookies on the service, your choices regarding cookies and further information about ...",1,
25,website__mekshq-com,website,ads_txt-19,ads_txt,https://mekshq.com/ads.txt,machine_readable,1,registry enumerates 1 named vendor(s),1,
26,website__searchfort-online,website,privacy_policy-00,privacy_policy,https://www.blpsearch.com/privacy,prose,1,"You can access our full Privacy Policy below to help you understand better how we use your Personal Data. In it, we explain in more detail the types of Personal Data we collect, how we collect it, ...",0,Empty XML file
26,website__searchfort-online,website,subprocessor_list-01,subprocessor_list,http://ww1.searchfort.online,,0,,0,
26,website__searchfort-online,website,do_not_sell-03,do_not_sell,https://searchfort.online/do-not-sell,,0,,0,
27,app_store_app__activity,app_store_app,privacy_policy-00,privacy_policy,https://www.jagranjosh.com/terms-of-use,,0,,0,"ToS, not PP. PP at https://www.jagranjosh.com/privacy-policy"
27,app_store_app__activity,app_store_app,app_ads_txt-01,app_ads_txt,https://www.jagranjosh.com/app-ads.txt,machine_readable,1,registry enumerates 200 named vendor(s),1,
28,data_broker__esome-advertising-technologies-gmbh,data_broker,privacy_policy-00,privacy_policy,https://www.esome.com/en/privacy-policy/,prose,1,"Perspective itself stores your contact data exclusively on European servers. However, there is a possibility that your data may be accessible to organisations in the United States of America, as Pe...",1,
28,data_broker__esome-advertising-technologies-gmbh,data_broker,partners_page-18,partners_page,https://www.esome.com/de/2024/02/27/partnerschaft-mit-mobile-de-und-kleinanzeigen-de-esome-verstaerkt-sein-targetingportfolio-mit-weiteren-hochwertigen-zielgruppensegmenten/,other_doc,0,,0,German-language document
29,data_broker__first-id-bidder,data_broker,privacy_policy-00,privacy_policy,https://www.first-id.fr/legale/cookie-policy/,prose,1,"​ When a visitor comes for the first time on a site linked to First-id , and once he has explicitly consented, his browser is redirected to the First-id portal which will determine if he already ha...",1,
29,data_broker__first-id-bidder,data_broker,partners_page-01,partners_page,https://www.first-id.fr/integrations/,other_doc,0,Sell Side,0,"Seems to be talking about tools which are able to integrate with the platform, not the platform in itself."
30,data_broker__madvertise-media,data_broker,privacy_policy-00,privacy_policy,https://developers.bluestack.app/privacy-policy,prose,1,"Madvertise (our â Platform â) provides a variety of online advertising-related services that help our clients to monetize their advertising spaces, buy and sell online ads through programmatic ...",1,
30,data_broker__madvertise-media,data_broker,partners_page-01,partners_page,https://developers.bluestack.app/integration-tool,other_doc,0,,0,"Talks about integration requirements, not third-party disclosures."
31,website__1077theend-com,website,privacy_policy-00,privacy_policy,https://audacyinc.com/privacy-policy/,prose,0,We are committed to gaining and maintaining your trust by following a core set of privacy principles. Please click on your region below to review the Privacy and Cookie Policy applicable to you. Th...,0,"Document itself does not contain any relevant documentation, however the following (linked and not included) documents do: https://audacyinc.com/privacy-policy-europe/, https://audacyinc.com/cookie-policy/, https://preferences.audacy.datagrail.io/"
31,website__1077theend-com,website,subprocessor_list-01,subprocessor_list,https://www.audacy.com/1077theend,,0,,0,"""site currently not available in EU"""
31,website__1077theend-com,website,ads_txt-06,ads_txt,https://www.audacy.com/ads.txt,machine_readable,1,registry enumerates 134 named vendor(s),1,
31,website__1077theend-com,website,do_not_sell-03,do_not_sell,https://audacyinc.com/do-not-sell-my-personal-information/,,0,,0,dead link
32,website__r4p3-net,website,privacy_policy-00,privacy_policy,https://noirth.com/help/privacy-statement/,prose,1,"When you purchase a service from our forum, as part of the buying and selling process, we collect the personal information you give us such as your name, address and email address.",1,
32,website__r4p3-net,website,ads_txt-21,ads_txt,https://noirth.com/ads.txt,machine_readable,1,registry enumerates 1 named vendor(s),1,
33,app_store_app__cardboard,app_store_app,privacy_policy-00,privacy_policy,https://vtime.net/cookie-policy/,prose,1,A cookie is a small file of letters and numbers that are placed on your browser or the hard drive of your device by the websites you visit. Cookies contain information that is transferred to your d...,1,
34,play_store_app__pixelphotoeditor,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.dyepixel.pixelphotoeditor&hl=en&gl=US,,0,,0,dead link
34,play_store_app__pixelphotoeditor,play_store_app,privacy_policy-02,privacy_policy,https://dyepixelapps.yolasite.com/User-Data-policy.php,prose,1,"We may disclose Non-personal data to third parties and/or allow third parties to collect Non-personal data through their own embedded technology. In order to deliver ads to you, the third-party adv...",1,
35,play_store_app__lockscreen,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.glitch.live.wallpaper.lockscreen&hl=en&gl=US,,0,,0,dead link
35,play_store_app__lockscreen,play_store_app,privacy_policy-02,privacy_policy,https://sites.google.com/view/jacobsite/privacy-policy,prose,1,"For purposes of this Privacy Policy, “non-personal data” means information that does not directly identify you. The types of non-personal data JacobSite may collect and use include, but are not lim...",1,"""JacobSite may hire agents and contractors to collect and process personal data on JacobSite’s behalf..."""
36,website__linuxgizmos-com,website,privacy_policy-00,privacy_policy,https://deviceguru.com/privacy/,prose,1,"The DeviceGuru Blog Network uses third-party advertising from Google and BuySellAds to serve ads when you visit our websites. These ads may use information (not including your name, address, email ...",1,"""The DeviceGuru Blog Network uses third-party advertising from Google and BuySellAds to serve ads when you visit our websites. These ads may use information (not including your name, address, email address, or telephone number) about your visits to this and other websites in order to provide advertisements about goods and services of interest to you."""
36,website__linuxgizmos-com,website,help_doc-01,help_doc,https://linuxgizmos.com/quadrf-uses-raspberry-pi-5-for-4x4-mimo-sdr-rf-visualization-and-scalable-phased-array-support/,other_doc,0,,0,unrelated
36,website__linuxgizmos-com,website,ads_txt-22,ads_txt,https://deviceguru.com/ads.txt,machine_readable,1,registry enumerates 1 named vendor(s),1,
37,website__dayre-me,website,privacy_policy-00,privacy_policy,https://dayre.me/terms/privacy,prose,1,We have developed and implemented policies and practices to comply with the provisions of the Personal Data Protection Act 2012 (the “PDPA”) and this Privacy Policy describes such policies and prac...,1,
37,website__dayre-me,website,help_doc-01,help_doc,https://dayre.me/help,other_doc,1,"We work with Adyen, a third party global payment platform to accept payments.",1,
37,website__dayre-me,website,subprocessor_list-02,subprocessor_list,https://dayre.me/upgrading-in-progress,,0,,0,empty list
38,app_store_app__hooters,app_store_app,privacy_policy-00,privacy_policy,https://www.hooters.com/privacy-policy,prose,1,We are based in the United States and do not own or operate any Hooters locations outside of the United States. This site is intended for U.S. audiences only. We do not knowingly collect any person...,1,
39,website__wotclassic-com,website,privacy_policy-00,privacy_policy,https://legal.wargaming.net/en/user-documents/privacy/privacy-policy/view,prose,1,7. HOW WE SHARE YOUR INFORMATION,1,
40,play_store_app__sk299,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=uk.ac.open.sk299&hl=en&gl=US,,0,,0,dead link
40,play_store_app__sk299,play_store_app,privacy_policy-02,privacy_policy,https://about.open.ac.uk/policies-and-reports/policies-and-statements/website-privacy-ou,prose,0,,0,"there is technically a linked PDF document with the policy, however that would prove very difficult to extract in a robust automated manner."
41,app_store_app__khmerpnh,app_store_app,privacy_policy-00,privacy_policy,http://www.windowskhmer.com/en/privacy,prose,1,"Our Web site enables you to communicate with other visitors or to post information to be accessed by others. When you do so, other visitors may collect your data.",0,"Talks about website, not app. Difficult to disambiguate though."
41,app_store_app__khmerpnh,app_store_app,app_ads_txt-01,app_ads_txt,http://www.windowskhmer.com/app-ads.txt,machine_readable,1,registry enumerates 1 named vendor(s),0,idem
42,data_broker__rm-digital-ads-ltda,data_broker,privacy_policy-00,privacy_policy,https://www.rmads.io/privacy-policy,prose,1,DO WE SHARE THE DATA WE COLLECT?,1,"""We do not share your data with third parties unless required by law, to protect the rights or safety of RMAds, our customers, or others, or as outlined in this policy."""
42,data_broker__rm-digital-ads-ltda,data_broker,do_not_sell-01,do_not_sell,https://www.rmads.io/optout,prose,0,,0,Non-English
43,data_broker__smaato-inc,data_broker,privacy_policy-00,privacy_policy,https://www.smaato.com/privacy/,prose,1,"Smaato, Inc. (“Smaato,” “we,” “our,” or “us”) provides this privacy policy to explain how we collect, use, and share information. This privacy policy (“Policy”) covers Smaato’s handling of two type...",1,
43,data_broker__smaato-inc,data_broker,cookie_policy-06,cookie_policy,https://www.smaato.com/cookie-policy/,structured,1,"This website, and any other website on which our Privacy Policy is posted (collectively, the “Smaato Websites”), utilize cookies. We use cookies to provide, market, improve, and operate the Smaato ...",1,
43,data_broker__smaato-inc,data_broker,partners_page-15,partners_page,https://verve.com/brand-marketplace-for-publishers/,other_doc,0,"For DSPs For DSPs Mobile App Growth Find high-value users on mobile. Omni-channel Growth Reach audiences across every screen. Deals Library Activate curated, audience-enriched deals. Integration Ce...",0,Cannot find any explicit mentions of third-party data sharing. Mentions of clients are not clearly third-part-data-sharing relationships.
43,data_broker__smaato-inc,data_broker,sellers_json-16,sellers_json,https://www.smaato.com/sellers.json,machine_readable,1,registry enumerates 199 named vendor(s),1,
44,app_store_app__free,app_store_app,privacy_policy-00,privacy_policy,https://inspiregamers.wordpress.com/privacy-policy/,prose,1,Inspire Gamers may use tools or third party analytical software to automatically collect and use certain non-personal data that does not directly enable Inspire Gamers to identify you.,1,
45,app_store_app__vitalitytoday,app_store_app,store_listing-00,store_listing,https://apps.apple.com/us/app/vitality-today/id491012082?uo=4,structured,1,"Thank you for using the Vitality Today app. We are always looking for ways to improve your app experience and thank you for your feedback, rating and reviewing the app. In this update you'll find: ...",1,
45,app_store_app__vitalitytoday,app_store_app,privacy_policy-01,privacy_policy,https://www.manulife.ca/privacy-policies.html,prose,0,Contracting and business services Contracting and business transfers Business services,0,Other relevant privacy statements are linked.
46,data_broker__ipsos-mori-uk-ltd,data_broker,privacy_policy-00,privacy_policy,https://iris.ipsos.com/site-centric-privacy/,prose,1,"The Ipsos iris study aims to cover the audience measurement of the number of individuals using webpages, applications, search, social, and advertising networks across multiple platforms (PC/laptop,...",1,Does not seemingly mention third parties.
46,data_broker__ipsos-mori-uk-ltd,data_broker,cookie_policy-01,cookie_policy,https://iris.ipsos.com/cookie-policy-uk/,prose,1,"Our website, https://iris.ipsos.com (hereinafter: “the website”) uses cookies and other related technologies (for convenience all technologies are referred to as “cookies”). Cookies are also placed...",1,
47,data_broker__next-millennium-media-inc,data_broker,privacy_policy-00,privacy_policy,https://nextmillennium.com/privacy-policy/,prose,1,"This Privacy Policy provides a comprehensive description of how Next Millennium Media Inc. (“Next Millennium” “we” “our” or “us”) collects, uses, and discloses information about you, as well as you...",1,
47,data_broker__next-millennium-media-inc,data_broker,dpa-17,dpa,https://nextmillennium.com/data-processing-agreement/,prose,1,"“ AdTech Ecosystem” means the digital marketplace that Next Millennium and Publisher are a part of which connects software, tools, and platforms used to buy, sell, and manage digital advertising. T...",1,
47,data_broker__next-millennium-media-inc,data_broker,sellers_json-21,sellers_json,https://wp.nextmillennium.io/sellers.json,machine_readable,1,registry enumerates 200 named vendor(s),1,
48,data_broker__globalwebindex,data_broker,privacy_policy-00,privacy_policy,https://www.gwi.com/privacy,structured,1,"This policy describes our general practice and procedure for collecting, using and disclosing information about employees, agents, officers, workers and contractors of our customers, those of our c...",1,
48,data_broker__globalwebindex,data_broker,cookie_policy-06,cookie_policy,https://www.gwi.com/cookie-policy,structured,1,"Functional cookies help perform certain functionalities like sharing the content of the website on social media platforms, collecting feedback, and other third-party features.",1,
48,data_broker__globalwebindex,data_broker,partners_page-15,partners_page,https://www.gwi.com/partners,other_doc,1,"Functional cookies help perform certain functionalities like sharing the content of the website on social media platforms, collecting feedback, and other third-party features.",1,
48,data_broker__globalwebindex,data_broker,vendor_list-16,vendor_list,https://www.gwi.com/case-studies/x-ad-sales,structured,1,"Functional cookies help perform certain functionalities like sharing the content of the website on social media platforms, collecting feedback, and other third-party features.",1,
49,data_broker__axis-corp-ltd,data_broker,privacy_policy-00,privacy_policy,https://axis-marketplace.com/legal/privacy-policy,prose,1,"Axis Corp LTD, a limited company duly registered in accordance with the laws of England and Wales, having its registered address at: Suite 7057 128 Aldersgate Street, Barbican, London, England, EC1...",1,
49,data_broker__axis-corp-ltd,data_broker,help_doc-01,help_doc,https://axis-marketplace.com/wiki,other_doc,0,,0,
49,data_broker__axis-corp-ltd,data_broker,sellers_json-22,sellers_json,https://axis-marketplace.com/sellers.json,machine_readable,1,registry enumerates 153 named vendor(s),1,
50,data_broker__artchaos-s-r-o,data_broker,privacy_policy-00,privacy_policy,https://silvermob.com/privacy,prose,1,"2. When you are joining our Platform : We may ask you to provide certain information, including name and email address, before joining our Platform. You also accept our Contractual General Terms an...",1,
50,data_broker__artchaos-s-r-o,data_broker,sellers_json-21,sellers_json,https://silvermob.com/sellers.json,machine_readable,1,registry enumerates 131 named vendor(s),1,
51,data_broker__hiili-sl,data_broker,privacy_policy-00,privacy_policy,https://hiili.org/privacy/index.html,structured,1,"This Privacy Policy explains how Hiili ('we', 'our', or 'the Company'), established as a Data Controller in the European Union, collects, uses, shares, and protects personal data when providing its...",1,
52,play_store_app__offroadbushillclimb3d,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.rms.offroadbushillclimb3d&hl=en&gl=US,,0,,0,dead link
52,play_store_app__offroadbushillclimb3d,play_store_app,privacy_policy-02,privacy_policy,https://sites.google.com/view/gamestorestudio,prose,1,Information from third parties (such as Facebook and Twitter) in relation to our service.,1,
53,app_store_app__slider,app_store_app,privacy_policy-00,privacy_policy,https://sudeshraikar.wixsite.com:443/app-world/privacy-policy,prose,1,"This Privacy Policy governs the manner in which sudeshraikar collects, uses, maintains and discloses information collected from users (each, a “User”) of the Services offered by sudeshraikar. This ...",1,
54,play_store_app__cougarsim,play_store_app,store_listing-00,store_listing,https://play.google.com/store/apps/details?id=com.turborocketgames.cougarsim&hl=en&gl=US,structured,1,store-listing data-safety card (mirrors play_data_safety),1,
54,play_store_app__cougarsim,play_store_app,play_data_safety-01,play_data_safety,https://play.google.com/store/apps/datasafety?id=com.turborocketgames.cougarsim&hl=en&gl=US,structured,1,Data shared,1,
54,play_store_app__cougarsim,play_store_app,privacy_policy-02,privacy_policy,https://turborocketgames.com/privacy-policy/,prose,1,"“Personal Data breach” means a breach of security leading to the accidental, or unlawful, destruction, loss, alteration, unauthorized disclosure of, or access to, Personal Data transmitted, stored ...",1,
